E,F [phot/cm^2/s/keV]
15.0,0.001525161695785564
16.363636363636363,0.001124749804584896
17.727272727272727,0.0008499405595712419
19.09090909090909,0.0006557558334716864
20.454545454545453,0.0005150754858457974
21.818181818181817,0.00041093236561166863
23.18181818181818,0.0003323678920632633
24.545454545454547,0.00027210499847190976
25.909090909090907,0.00022519185801647627
27.272727272727273,0.00018818512971007745
28.636363636363633,0.0001586436728749758
30.0,0.00013480652218699334
31.363636363636363,0.00011538327495288857
32.72727272727273,9.941477674502803e-05
34.09090909090909,8.617876324072416e-05
35.45454545454545,7.512484165978925e-05
36.81818181818181,6.582897804612107e-05
38.18181818181818,5.7961174581308234e-05
39.54545454545455,5.126220639833263e-05
40.90909090909091,4.552667110806487e-05
42.272727272727266,4.0590496081409346e-05
43.63636363636363,3.632163279163006e-05
45.0,3.2613056134055616e-05
46.36363636363636,2.93774487908265e-05
47.72727272727273,2.65431298907214e-05
49.090909090909086,2.4050911201780335e-05
50.45454545454545,2.1851650883220156e-05
51.81818181818181,1.9904336233931073e-05
53.18181818181818,1.817457077272732e-05
54.54545454545454,1.6633372667058235e-05
55.90909090909091,1.5256214599654198e-05
57.272727272727266,1.4022252110279468e-05
58.63636363636363,1.2913699999727289e-05
60.0,1.191532574832472e-05
61.36363636363636,1.1014035940964758e-05
62.72727272727273,1.0198537019337427e-05
64.0909090909091,9.45905574226034e-06
65.45454545454545,8.7871078483195e-06
66.81818181818181,8.175305816674514e-06
68.18181818181819,7.617198485223253e-06
69.54545454545453,7.107136738989393e-06
70.9090909090909,6.640160621650327e-06
72.27272727272727,6.21190412174691e-06
73.63636363636363,5.818514596874071e-06
75.0,5.456584365528601e-06
76.36363636363636,5.12309244899755e-06
77.72727272727272,4.815354809078687e-06
79.09090909090908,4.530981720355681e-06
80.45454545454545,4.267841152813874e-06
81.81818181818181,4.0240272331702925e-06
83.18181818181817,3.7978330103270195e-06
84.54545454545455,3.5877268788613146e-06
85.9090909090909,3.3923321199851182e-06
87.27272727272727,3.210409106341161e-06
88.63636363636363,3.0408397888568108e-06
90.0,2.8826141434510314e-06
91.36363636363636,2.734818304932179e-06
92.72727272727272,2.5966241567442444e-06
94.09090909090908,2.46728017977892e-06
95.45454545454545,2.3461033924555562e-06
96.81818181818181,2.2324722386449196e-06
98.18181818181817,2.1258203005617963e-06
99.54545454545453,2.0256307311196573e-06
100.9090909090909,1.9314313149557476e-06
102.27272727272727,1.8427900798318942e-06
103.63636363636363,1.759311390753721e-06
105.0,1.680632468225802e-06
106.36363636363636,1.60642027981879e-06
107.72727272727272,1.5363687608717818e-06
109.09090909090908,1.470196325859981e-06
110.45454545454545,1.407643636866887e-06
111.81818181818181,1.3484715998315868e-06
113.18181818181817,1.2924595628956922e-06
114.54545454545453,1.2394036943357484e-06
115.9090909090909,1.189115520306831e-06
117.27272727272727,1.1414206050019855e-06
118.63636363636363,1.0961573579011672e-06
119.99999999999999,1.0531759545858859e-06
121.36363636363636,1.0123373591686486e-06
122.72727272727272,9.735124377610671e-07
124.09090909090908,9.365811536079073e-07
125.45454545454545,9.01431835569442e-07
126.81818181818181,8.679605125608195e-07
128.1818181818182,8.360703073717297e-07
129.54545454545453,8.056708840069151e-07
130.9090909090909,7.766779433205315e-07
132.27272727272725,7.490127622758529e-07
133.63636363636363,7.226017726555468e-07
135.0,6.973761754849401e-07
136.36363636363637,6.732715878181575e-07
137.72727272727272,6.50227718880985e-07
139.09090909090907,6.281880728699308e-07
140.45454545454544,6.070996759788977e-07
141.8181818181818,5.869128254671035e-07
143.18181818181816,5.675808587978968e-07
144.54545454545453,5.490599410709882e-07
145.9090909090909,5.31308869142981e-07
147.27272727272725,5.142888909853208e-07
148.63636363636363,4.979635389669361e-07
150.0,4.822984758727211e-07
