E,F [phot/cm^2/s/keV]
15.0,0.006361760830985452
24.949494949494948,0.0024442903805248313
34.898989898989896,0.0013005909674477247
44.84848484848485,0.000811601959533808
54.7979797979798,0.0005568670929463114
64.74747474747474,0.0004069396200366575
74.6969696969697,0.0003110421860011518
84.64646464646465,0.00024588062915474807
94.5959595959596,0.00019952092111728172
104.54545454545455,0.00016532373683154797
114.4949494949495,0.0001393511652914124
124.44444444444444,0.00011914475814551613
134.3939393939394,0.00010310390124598433
144.34343434343435,9.014932528135785e-05
154.2929292929293,7.95313545342544e-05
164.24242424242425,7.071579907373434e-05
174.1919191919192,6.331349052245323e-05
184.14141414141415,5.703535298237555e-05
194.0909090909091,5.166294270212694e-05
204.04040404040404,4.702864827515379e-05
213.989898989899,4.300208866009254e-05
223.93939393939394,3.948058395638291e-05
233.88888888888889,3.638236062593878e-05
243.83838383838383,3.3641628535296135e-05
253.7878787878788,3.120496202020161e-05
263.7373737373738,2.9028604054564375e-05
273.6868686868687,2.7076433503002253e-05
283.6363636363636,2.5318415118371993e-05
293.5858585858586,2.372940536820484e-05
303.5353535353535,2.2288223558451682e-05
313.4848484848485,2.097692286578386e-05
323.4343434343434,1.9780213499521133e-05
333.3838383838384,1.868500270315966e-05
343.33333333333337,1.768002526635527e-05
353.2828282828283,1.6755544718024083e-05
363.23232323232327,1.5903110134124565e-05
373.1818181818182,1.511535701731625e-05
383.13131313131316,1.4385843336009274e-05
393.0808080808081,1.3708913790469902e-05
403.03030303030306,1.307958687627902e-05
412.979797979798,1.2493460464337818e-05
422.92929292929296,1.1946632501340207e-05
432.8787878787879,1.1435634120552352e-05
442.82828282828285,1.0957372987953957e-05
452.77777777777777,1.0509085128973736e-05
462.72727272727275,1.0088293812839573e-05
472.67676767676767,9.692774335011082e-06
482.62626262626264,9.320523748452535e-06
492.5757575757576,8.969734763212625e-06
502.52525252525254,8.638773169780016e-06
512.4747474747476,8.326158251828515e-06
522.4242424242425,8.030545743563682e-06
532.3737373737374,7.7507129600768e-06
542.3232323232323,7.485545789149263e-06
552.2727272727273,7.234027282388169e-06
562.2222222222223,6.995227624436984e-06
572.1717171717172,6.768295292902983e-06
582.1212121212121,6.552449249860748e-06
592.070707070707,6.346972029359395e-06
602.0202020202021,6.1512036051096975e-06
611.969696969697,5.964535939126907e-06
621.9191919191919,5.7864081260998485e-06
631.8686868686868,5.616302060089865e-06
641.8181818181819,5.453738560196531e-06
651.7676767676768,5.2982739003574804e-06
661.7171717171717,5.149496695721498e-06
671.6666666666667,5.007025104248706e-06
681.6161616161617,4.870504307515836e-06
691.5656565656566,4.739604239277004e-06
701.5151515151515,4.61401753426607e-06
711.4646464646465,4.493457673122036e-06
721.4141414141415,4.37765730225448e-06
731.3636363636364,4.266366710009408e-06
741.3131313131313,4.159352442704118e-06
751.2626262626263,4.0563960460205855e-06
761.2121212121212,3.95729291892122e-06
771.1616161616162,3.8618512687129985e-06
781.1111111111111,3.7698911571651677e-06
791.0606060606061,3.6812436287068124e-06
801.010101010101,3.595749912714915e-06
810.959595959596,3.5132606927691517e-06
820.909090909091,3.433635436512254e-06
830.8585858585859,3.356741780427553e-06
840.8080808080808,3.282454964439884e-06
850.7575757575758,3.2106573117723245e-06
860.7070707070708,3.1412377499575844e-06
870.6565656565657,3.0740913693170024e-06
880.6060606060606,3.0091190155881002e-06
890.5555555555555,2.946226913709328e-06
900.5050505050506,2.8853263200626435e-06
910.4545454545455,2.8263332007352785e-06
920.4040404040404,2.769167933594962e-06
930.3535353535353,2.7137550321813905e-06
940.3030303030304,2.6600228896034583e-06
950.2525252525253,2.607903540799354e-06
960.2020202020202,2.5573324416670646e-06
970.1515151515152,2.5082482637081435e-06
980.1010101010102,2.460592702949387e-06
990.0505050505051,2.4143103020167943e-06
1000.0,2.369348284335221e-06
